,,,,,,,,,
City,order id,Date,Store Code,Basket size,Delivery Fee,Cost per order (CPO),Distance in km (pick up to delivery),Courier waiting time (mins),Courier waiting time (mins)
BCN,1,2025-06-28,66944,11.50€,2.10€,3.90€,1.70€,3.8,3.8
BCN,2,2025-06-28,74118,18.80€,3.30€,3.30€,2.70€,1.4,1.4
BCN,3,2025-06-28,65231,18.40€,2.10€,3.40€,1.60€,3.4,3.4
MAD,4,2025-06-28,205036,3.30€,1.20€,1.80€,0.30€,3.2,3.2
MAD,5,2025-06-28,34310,15.70€,1.50€,2.40€,0.60€,2.8,2.8
MAD,6,2025-06-28,46515,17.00€,1.60€,2.70€,0.80€,3.2,3.2
BCN,7,2025-06-28,248266,19.50€,2.00€,3.30€,1.50€,3,3
MAD,8,2025-06-28,74119,9.50€,1.60€,2.40€,1.00€,1.8,1.8
BCN,9,2025-06-28,259875,18.30€,1.80€,3.20€,1.30€,3.3,3.3
MAD,10,2025-06-28,105408,17.50€,2.50€,3.30€,2.20€,3.7,3.7
MAD,11,2025-06-28,61499,10.70€,2.30€,4.10€,2.00€,2.2,2.2
BCN,12,2025-06-28,264652,7.90€,1.60€,5.50€,1.00€,1.7,1.7
BCN,13,2025-06-27,264652,14.00€,2.10€,3.70€,1.50€,2.1,2.1
BCN,14,2025-06-27,65231,19.80€,2.00€,3.60€,1.60€,3.6,3.6
MAD,15,2025-06-27,34310,17.10€,1.30€,2.60€,0.50€,3.6,3.6
MAD,16,2025-06-27,74119,9.30€,1.60€,2.60€,0.90€,3.1,3.1
MAD,17,2025-06-27,46515,18.40€,1.60€,2.80€,0.90€,3.7,3.7
BCN,18,2025-06-27,259875,20.30€,2.00€,3.90€,1.50€,3.3,3.3
MAD,19,2025-06-27,205036,8.80€,1.20€,3.20€,0.40€,3.3,3.3
MAD,20,2025-06-27,105408,22.20€,2.60€,3.90€,2.50€,4.8,4.8
BCN,21,2025-06-27,264651,16.20€,1.40€,3.10€,0.70€,3.3,3.3
BCN,22,2025-06-27,66944,14.30€,2.10€,4.00€,1.70€,3.6,3.6
BCN,23,2025-06-27,74118,11.40€,2.40€,3.60€,2.00€,4.3,4.3
MAD,24,2025-06-27,61499,14.90€,2.40€,3.80€,2.10€,3.7,3.7
BCN,25,2025-06-27,248266,20.00€,1.70€,3.70€,1.20€,4,4
MAD,26,2025-06-26,105408,22.00€,2.60€,4.00€,2.50€,4.4,4.4
BCN,27,2025-06-26,66944,10.40€,2.20€,4.70€,1.90€,2.1,2.1
BCN,28,2025-06-26,264652,14.00€,1.90€,3.70€,1.40€,1.9,1.9
BCN,29,2025-06-26,65231,20.40€,2.20€,3.90€,1.80€,3.8,3.8
BCN,30,2025-06-26,259875,21.00€,2.10€,4.20€,1.70€,4.6,4.6
MAD,31,2025-06-26,205036,20.00€,4.50€,6.30€,4.60€,5.8,5.8
MAD,32,2025-06-26,34310,18.70€,1.30€,2.60€,0.40€,2.7,2.7
BCN,33,2025-06-26,248266,17.50€,2.10€,3.90€,1.50€,3.8,3.8
MAD,34,2025-06-26,46515,19.70€,1.50€,3.10€,0.80€,4.2,4.2
BCN,35,2025-06-26,264651,14.80€,1.10€,2.50€,0.60€,4,4
MAD,36,2025-06-26,74119,11.90€,1.60€,2.70€,0.70€,5.3,5.3
